date,metric_type,Provider Name,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
10/28/2024,mean,All Providers Combined,107263,98769,107.26,98.77,9,20535,5379,10221
10/28/2024,mean,Citynet,94448,94092,94.45,94.09,8,3866,1027,1806
10/28/2024,mean,EngiNet,57973,51720,57.97,51.72,14,714,189,399
10/28/2024,mean,Aztelekom,134429,111550,134.43,111.55,11,3284,894,1761
10/28/2024,mean,Azeronline,139701,133915,139.7,133.92,19,1960,497,955
10/28/2024,mean,Baktelekom,174955,152461,174.96,152.46,7,3393,977,1863
10/28/2024,mean,ULTEL,80596,94067,80.6,94.07,12,325,83,139
10/28/2024,mean,Delta Telecom,61470,66416,61.47,66.42,7,629,193,371
10/28/2024,mean,Smart Online,37638,21776,37.64,21.78,5,179,37,73
10/28/2024,mean,alfanet,54371,47082,54.37,47.08,4,171,44,86
10/28/2024,mean,Teleport,32836,35265,32.84,35.27,10,282,71,129
10/28/2024,mean,Azeurotel,66672,59124,66.67,59.12,7,331,56,113
10/28/2024,mean,GSP,43109,36259,43.11,36.26,9,318,74,154
10/28/2024,mean,KATV 1,63006,60012,63.01,60.01,5,2236,596,1236
10/28/2024,mean,Caspian Telecom,63182,63599,63.18,63.6,8,635,187,372
10/28/2024,mean,AzFiberNet,164905,126084,164.91,126.08,4,199,48,95
10/28/2024,mean,SparkTel,101829,79266,101.83,79.27,6,110,39,70
10/28/2024,mean,BeeOnline,57628,48402,57.63,48.4,3,141,31,63
10/28/2024,mean,iZONE,72910,38687,72.91,38.69,7,125,38,70
10/28/2024,mean,Connect CJSC,62403,65775,62.4,65.78,6,113,17,61
10/28/2024,mean,Selnet,47914,104478,47.91,104.48,6,493,137,236
10/28/2024,mean,Bulud Telecom,74795,38184,74.8,38.18,6,185,57,102
10/28/2024,mean,Metronet,43465,36648,43.47,36.65,6,291,50,116
10/28/2024,median,All Providers Combined,64004,55409,64,55.41,5,20535,5379,10221
10/28/2024,median,Citynet,82704,75236,82.7,75.24,4,3866,1027,1806
10/28/2024,median,EngiNet,48689,42803,48.69,42.8,6,714,189,399
10/28/2024,median,Aztelekom,71597,56729,71.6,56.73,8,3284,894,1761
10/28/2024,median,Azeronline,81244,73480,81.24,73.48,10,1960,497,955
10/28/2024,median,Baktelekom,79966,65038,79.97,65.04,4,3393,977,1863
10/28/2024,median,ULTEL,75547,71696,75.55,71.7,3,325,83,139
10/28/2024,median,Delta Telecom,39733,38094,39.73,38.09,4,629,193,371
10/28/2024,median,Smart Online,31586,13055,31.59,13.06,3,179,37,73
10/28/2024,median,alfanet,56870,50605,56.87,50.61,3,171,44,86
10/28/2024,median,Teleport,25129,32752,25.13,32.75,6,282,71,129
10/28/2024,median,Azeurotel,43155,49120,43.16,49.12,4,331,56,113
10/28/2024,median,GSP,40315,34280,40.32,34.28,5,318,74,154
10/28/2024,median,KATV 1,68696,65246,68.7,65.25,3,2236,596,1236
10/28/2024,median,Caspian Telecom,70455,73971,70.46,73.97,4,635,187,372
10/28/2024,median,AzFiberNet,79954,41634,79.95,41.63,3,199,48,95
10/28/2024,median,SparkTel,50305,53514,50.31,53.51,3,110,39,70
10/28/2024,median,BeeOnline,53151,43582,53.15,43.58,3,141,31,63
10/28/2024,median,iZONE,55993,30181,55.99,30.18,2,125,38,70
10/28/2024,median,Connect CJSC,46987,45506,46.99,45.51,4,113,17,61
10/28/2024,median,Selnet,40192,54833,40.19,54.83,5,493,137,236
10/28/2024,median,Bulud Telecom,44232,29803,44.23,29.8,5,185,57,102
10/28/2024,median,Metronet,43289,36819,43.29,36.82,4,291,50,116
10/29/2024,mean,All Providers Combined,105282,105907,105.28,105.91,9,21126,5889,10793
10/29/2024,mean,Citynet,94625,95128,94.63,95.13,9,3247,958,1637
10/29/2024,mean,EngiNet,58354,58284,58.35,58.28,12,689,199,394
10/29/2024,mean,Aztelekom,146481,137046,146.48,137.05,9,3171,884,1702
10/29/2024,mean,Azeronline,131252,145938,131.25,145.94,20,2065,548,1038
10/29/2024,mean,Baktelekom,170605,164799,170.61,164.8,7,3957,1094,2054
10/29/2024,mean,ULTEL,70474,63695,70.47,63.7,14,240,61,132
10/29/2024,mean,Delta Telecom,66692,78948,66.69,78.95,7,715,243,400
